first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Ross,Stewart,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.7,45,FWD
Sugawara,Yukinari,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,DEF
Charlie,Taylor,1,1,47,2329,46,275.7,395.6,59.0,1,347,73.3,2,0,8,5.2,40,DEF
Kyle,Walker-Peters,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,45,DEF
Nathan,Wood-Gordon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.1,40,DEF
Flynn,Downes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,MID
Ben,Brereton Díaz,6,1,62,1105,37,124.0,312.2,422.0,5,173,85.3,0,0,3,0.1,55,MID
Ashley,Phillips,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,40,DEF
Brandon,Austin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40,GK
Rodrigo,Bentancur,1,1,32,997,25,174.9,193.0,156.0,0,153,52.1,1,0,7,0.3,50,MID
Lucas,Bergvall,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,45,MID
Yves,Bissouma,0,0,44,2070,35,279.4,403.0,140.0,0,315,82.3,7,2,8,0.3,50,MID
Bryan,Gil Salvatierra,0,0,12,200,11,70.1,28.6,59.0,0,41,15.9,0,0,0,0.0,50,MID
Ben,Davies,1,2,34,1085,21,81.0,294.8,124.0,0,216,50.3,1,0,2,0.2,45,DEF
Alfie,Devine,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Radu,Drăgușin,0,0,14,424,7,7.4,95.4,6.0,0,82,11.0,1,0,1,0.3,45,DEF
Emerson,Leite de Souza Junior,1,0,27,1152,31,119.5,316.0,55.0,4,233,49.4,0,0,4,0.2,45,DEF
Fraser,Forster,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45,GK
Archie,Gray,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,50,MID
Pierre-Emile,Højbjerg,0,0,39,1289,28,205.8,282.2,108.0,0,239,59.7,1,0,4,0.1,50,MID
Brennan,Johnson,5,12,131,2317,42,624.3,554.4,782.0,9,397,196.3,5,0,3,1.8,65,MID
Dejan,Kulusevski,8,3,130,2759,46,950.4,698.8,953.0,14,463,260.1,8,0,7,1.6,65,MID
Giovani,Lo Celso,2,2,47,491,12,262.8,225.8,110.0,6,189,60.0,1,0,2,0.1,50,MID
James,Maddison,4,11,117,2137,31,979.5,630.4,605.0,9,495,221.4,7,0,5,5.6,75,MID
Pedro,Porro,3,8,136,3090,54,877.4,839.0,365.0,20,720,208.5,7,0,3,25.6,55,DEF
Sergio,Reguilón,0,6,74,1524,30,436.3,390.2,111.0,14,350,93.8,5,1,7,0.4,45,DEF
Richarlison,de Andrade,11,4,122,1481,18,208.4,560.6,758.0,7,305,152.1,7,0,3,1.3,70,FWD
Cristian,Romero,5,0,107,2790,46,161.9,841.8,252.0,15,591,125.9,7,1,7,4.5,50,DEF
Pape Matar,Sarr,3,3,86,2063,27,373.3,406.0,317.0,4,397,110.2,9,0,9,0.4,50,MID
Dane,Scarlett,0,0,4,19,0,0.4,2.0,6.0,0,10,0.8,0,0,0,0.8,45,FWD
Oliver,Skipp,0,0,22,691,17,126.2,92.0,65.0,0,105,28.1,0,0,3,0.1,50,MID
Manor,Solomon,0,2,14,196,2,144.3,73.4,61.0,2,53,28.0,0,0,1,0.1,55,MID
Son,Heung-min,17,10,213,2934,51,921.9,993.2,1131.0,25,707,304.7,8,0,1,11.5,100,MID
Djed,Spence,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,DEF
Destiny,Udogie,2,3,79,2391,43,357.9,534.8,279.0,8,402,117.3,5,1,5,5.2,50,DEF
Micky,van de Ven,3,0,81,2341,38,56.7,561.6,85.0,10,501,70.5,5,0,5,7.8,45,DEF
Alejo,Véliz,1,0,11,45,2,0.9,35.2,29.0,0,40,6.5,0,0,1,0.1,50,FWD
Guglielmo,Vicario,0,0,112,3420,61,0.0,974.2,0.0,9,730,97.4,7,0,2,5.1,50,GK
Timo,Werner,2,4,46,808,16,239.0,179.0,305.0,5,173,72.3,0,0,1,0.5,65,MID
Alfie,Whiteman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.4,40,GK
Edson,Álvarez Velázquez,1,1,62,2375,45,193.1,545.8,89.0,3,345,82.7,5,0,11,0.3,50,MID
Michail,Antonio,6,2,78,1692,34,132.2,308.6,395.0,8,228,82.7,5,0,6,0.9,55,FWD
Alphonse,Areola,0,0,116,2700,53,0.0,1023.2,0.0,11,598,102.4,4,0,1,11.0,45,GK
Jarrod,Bowen,16,6,182,3020,63,463.8,890.4,1130.0,14,519,247.8,5,0,2,7.3,75,MID
Maxwel,Cornet,1,0,13,109,3,48.4,44.0,54.0,0,40,14.6,0,0,0,0.0,50,MID
Vladimír,Coufal,0,7,85,3135,70,500.0,661.6,92.0,9,514,125.6,4,1,5,0.9,45,DEF
Aaron,Cresswell,0,0,10,431,11,77.2,58.8,2.0,0,71,13.9,0,0,1,1.9,40,DEF
George,Earthy,1,0,8,33,0,2.0,32.8,33.0,0,27,6.9,0,0,0,0.2,45,MID
Emerson,Palmieri dos Santos,1,4,82,3138,67,400.2,649.0,168.0,8,519,121.8,5,0,10,0.6,45,DEF
Łukasz,Fabiański,0,0,24,721,21,0.0,245.6,0.0,1,152,24.6,1,0,0,8.5,40,GK
Wes,Foderingham,0,0,70,2648,79,10.0,966.0,0.0,7,531,97.7,1,0,2,0.3,45,GK
Danny,Ings,1,2,36,389,10,64.4,82.4,125.0,4,105,27.1,0,0,1,0.7,50,FWD
Max,Kilman,2,0,82,3420,65,233.1,853.6,212.0,3,592,130.2,5,0,7,0.9,45,DEF
Mohammed,Kudus,8,9,137,2485,61,472.9,667.2,566.0,13,476,170.8,3,0,6,10.0,65,MID
Luis Guilherme,Lira dos Santos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,MID
Lucas,Tolentino Coelho de Lima,4,6,100,2627,52,722.3,570.6,343.0,7,398,163.7,4,0,10,1.2,60,MID
Konstantinos,Mavropanos,1,0,40,1500,27,41.9,300.2,112.0,3,229,45.3,3,0,2,0.2,45,DEF
Nayef,Aguerd,1,0,36,1857,44,58.1,439.4,145.0,0,282,64.4,2,1,1,0.2,45,DEF
Tomáš,Souček,7,2,116,2867,64,262.5,751.6,488.0,9,456,150.3,5,0,7,2.3,50,MID
James,Ward-Prowse,7,7,146,3000,65,1023.5,831.0,324.0,19,708,217.5,5,0,4,1.7,65,MID
Kurt,Zouma,3,0,76,2838,63,55.1,636.8,227.0,6,444,92.0,3,0,3,0.6,45,DEF
Andy,Irving,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Rayan,Aït-Nouri,2,3,77,2327,43,376.9,448.4,253.0,6,365,107.7,3,0,7,3.8,45,DEF
Boubacar,Traoré,0,0,25,802,23,106.5,114.4,27.0,0,122,25.2,0,0,4,0.1,50,MID
Jean-Ricner,Bellegarde,2,2,45,948,24,170.1,189.8,163.0,1,150,52.2,0,1,0,0.0,50,MID
Daniel,Bentley,0,0,18,382,7,0.0,70.8,0.0,1,73,7.1,2,0,0,1.3,40,GK
Francisco Jorge,Tomás Oliveira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,MID
Tawanda,Chirewa,0,0,8,138,2,24.7,22.0,21.0,0,21,6.6,0,0,1,0.1,45,MID
Leon,Chiwome,0,0,5,173,4,1.2,7.8,13.0,0,12,2.2,0,0,0,0.4,45,FWD
Luke,Cundle,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Matheus,Santos Carneiro Da Cunha,12,7,135,2438,46,409.8,786.0,872.0,15,520,206.4,6,0,9,3.0,65,FWD
Craig,Dawson,1,1,69,2209,38,108.6,611.8,222.0,6,421,94.4,6,0,7,0.2,45,DEF
Matt,Doherty,1,0,41,1136,21,168.1,237.8,122.0,1,186,52.9,1,0,2,0.2,45,DEF
Tommy,Doyle,0,0,38,1209,24,173.7,198.4,55.0,0,197,42.7,3,0,2,0.1,50,MID
Fábio,Silva,0,0,8,259,8,51.6,25.2,93.0,0,7,16.9,1,0,2,0.3,50,FWD
Nathan,Fraser,0,0,7,183,3,29.2,22.4,36.0,0,17,8.6,1,0,1,5.0,45,FWD
Enso,González,0,0,1,1,0,0.8,0.2,0.0,0,3,0.1,0,0,0,0.1,45,MID
Gonçalo Manuel,Ganchinho Guedes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,55,MID
Hugo,Bueno López,0,0,29,727,16,122.1,139.4,30.0,0,136,29.0,2,0,1,0.1,45,DEF
Hwang,Hee-chan,12,3,125,2116,37,259.9,534.2,614.0,10,334,140.7,3,0,6,1.5,65,MID
Joe,Hodge,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,45,MID
Ki-Jana,Hoever,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40,DEF
João Victor,Gomes da Silva,2,2,75,2646,51,372.3,493.2,196.0,3,359,106.1,4,0,11,0.1,50,MID
José,Malheiro de Sá,0,1,107,3037,58,11.0,1003.4,0.0,8,622,101.6,4,0,1,2.8,45,GK
Saša,Kalajdžić,2,0,24,158,2,48.7,94.0,66.0,4,88,20.7,1,0,0,0.1,50,FWD
Tom,King,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,40,GK
Mario,Lemina,4,1,95,2969,55,333.6,621.6,470.0,13,490,142.7,4,1,10,0.2,50,MID
Yerson,Mosquera,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40,DEF
Nélson,Cabral Semedo,0,2,63,3084,62,395.7,508.8,165.0,0,455,107.2,5,1,10,0.0,45,DEF
Pedro,Lomba Neto,2,11,86,1516,27,599.2,371.4,389.0,8,310,135.5,3,0,4,1.2,65,MID
Pedro,Cardoso de Lima,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.3,40,DEF
Daniel,Castelo Podence,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,55,MID
Rodrigo,Martins Gomes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,55,MID
Santiago,Bueno,0,0,13,819,18,27.1,173.8,2.0,0,124,20.3,0,0,1,0.2,45,DEF
Pablo,Sarabia,4,7,99,1737,27,795.3,469.2,418.0,8,358,168.4,6,0,5,0.3,55,MID
Jørgen,Strand Larsen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,55,FWD
Toti António,Gomes,1,4,82,2771,49,117.7,550.0,167.0,6,468,83.7,4,0,7,0.3,45,DEF
