first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Ben,Davies,0,1,16,382,4,54.7,49.6,46.0,0,71,15.0,1,0,0,1.1,48,DEF
Pierre-Emile,Højbjerg,0,1,20,720,9,86.7,149.8,11.0,0,110,24.8,2,0,1,0.8,49,MID
Harry,Winks,0,0,5,256,7,20.4,35.0,0.0,0,36,5.5,0,0,1,0.1,53,MID
Davinson,Sánchez,0,0,4,360,7,2.1,55.0,86.0,0,37,14.3,0,0,0,0.8,54,DEF
Ryan,Sessegnon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,47,DEF
Steven,Bergwijn,0,0,6,152,2,34.6,11.4,22.0,0,12,6.8,1,0,0,0.4,71,MID
Gedson,Carvalho Fernandes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,48,MID
Japhet,Tanganga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,DEF
Giovani,Lo Celso,0,0,6,184,1,85.6,28.6,77.0,0,19,19.1,1,0,1,0.4,69,MID
Oliver,Skipp,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID
Tanguy,Ndombele,1,0,19,416,4,92.8,81.0,75.0,0,76,24.9,3,0,2,0.3,59,MID
Juan,Foyth,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,DEF
Matt,Doherty,0,1,24,525,5,81.1,113.0,49.0,3,97,24.4,2,0,1,8.4,58,DEF
Joe,Hart,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,44,GK
Cameron,Carter-Vickers,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,39,DEF
Sergio,Reguilón,0,2,16,360,5,96.4,99.2,59.0,0,85,25.5,1,0,1,4.0,56,DEF
Gareth,Bale,1,0,13,115,3,38.5,41.4,58.0,3,33,13.8,1,0,0,1.1,95,MID
Carlos Vinicius,Alves Morais,0,0,1,12,0,10.3,2.0,21.0,0,2,3.3,0,0,0,0.0,70,FWD
Joe,Rodon,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,50,DEF
David,Button,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.7,40,GK
Callum,Robinson,2,1,25,417,8,74.1,86.0,120.0,3,83,27.6,1,0,0,0.7,55,FWD
Kieran,Gibbs,0,0,-3,135,8,13.2,7.4,2.0,0,11,2.3,0,1,0,0.2,44,DEF
Hal,Robson-Kanu,0,0,3,84,5,10.7,7.2,16.0,0,6,3.4,0,0,0,0.1,52,FWD
Jake,Livermore,0,0,12,656,17,42.6,65.0,25.0,0,52,13.2,1,0,2,0.1,48,MID
Kamil,Grosicki,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,53,MID
Matt,Phillips,0,0,5,69,2,25.7,15.0,14.0,0,14,5.5,0,0,1,0.0,51,MID
Kyle,Bartley,1,0,10,450,14,1.3,117.2,37.0,0,63,15.5,0,0,1,0.2,45,DEF
Romaine,Sawyers,0,0,9,340,10,37.4,38.2,2.0,0,34,7.8,0,0,1,0.0,48,MID
Ahmed El-Sayed,Hegazy,0,0,6,90,0,0.3,19.6,0.0,0,24,2.0,1,0,0,0.2,42,DEF
Charlie,Austin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,51,FWD
Kenneth,Zohore,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,FWD
Sam,Johnstone,0,0,26,720,17,0.0,224.8,0.0,4,152,22.5,1,0,0,1.0,45,GK
Conor,Townsend,0,0,16,540,9,69.9,100.4,31.0,3,89,20.1,1,0,0,0.1,45,DEF
Oluwasemilogo Adesewo Ibidapo,Ajayi,0,0,7,630,17,3.6,109.8,4.0,0,75,11.7,0,0,1,0.2,48,DEF
Jonathan,Leko,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Kyle,Edwards,0,0,5,114,3,12.8,13.0,39.0,0,15,6.4,0,0,0,0.0,48,MID
Darnell,Furlong,0,1,17,608,13,95.4,118.4,97.0,1,98,31.2,1,0,1,0.1,45,DEF
Sam,Field,0,0,3,61,2,0.5,20.0,0.0,0,16,2.0,0,0,0,0.0,48,MID
Dara,O'Shea,0,0,5,450,14,22.6,90.2,22.0,0,50,13.5,0,0,0,0.2,43,DEF
Rekeem,Harper,0,0,1,21,2,1.8,1.8,0.0,0,3,0.4,0,0,0,0.5,44,MID
Grady,Diangana,1,0,21,588,16,71.9,96.8,108.0,0,52,27.6,1,0,0,0.4,54,MID
Matheus,Pereira,1,2,25,572,15,150.4,120.6,99.0,0,97,37.0,1,0,0,1.7,59,MID
Cedric,Kipre,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
Branislav,Ivanovic,0,0,9,270,3,10.9,61.0,57.0,0,51,12.9,1,0,0,0.1,45,DEF
Conor,Gallagher,0,0,8,360,4,42.5,60.6,32.0,0,27,13.4,1,0,1,0.0,55,MID
Filip,Krovinovic,0,0,10,353,5,71.8,56.8,37.0,0,66,16.5,1,0,0,0.0,50,MID
Karlan,Grant,1,0,15,328,3,28.7,44.4,72.0,3,38,14.4,2,0,0,0.0,59,FWD
Lee,Peltier,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Mark,Noble,0,0,4,70,1,12.8,7.0,0.0,0,14,2.0,0,0,0,0.6,47,MID
Robert,Snodgrass,0,0,1,1,0,0.3,0.0,0.0,0,3,0.0,0,0,0,0.1,57,MID
David,Martin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,7.4,40,GK
Darren,Randolph,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,GK
Lukasz,Fabianski,0,0,41,720,10,0.0,161.2,0.0,6,162,16.2,3,0,0,2.2,50,GK
Angelo,Ogbonna,0,0,22,692,10,14.0,130.4,35.0,0,115,17.9,3,0,2,0.4,49,DEF
Roberto,Jimenez Gago,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,GK
Jack,Wilshere,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49,MID
Aaron,Cresswell,0,3,38,720,10,265.2,216.4,9.0,5,197,49.1,3,0,0,8.1,51,DEF
Andriy,Yarmolenko,0,0,4,97,3,18.5,5.4,29.0,0,8,5.1,0,0,1,0.1,56,MID
Michail,Antonio,3,0,27,481,8,73.8,134.0,314.0,5,77,52.1,2,0,1,2.4,62,FWD
Ryan,Fredericks,0,1,4,228,4,109.8,60.4,6.0,0,43,17.7,0,0,2,0.3,44,DEF
Manuel,Lanzini,1,0,7,33,0,11.8,43.2,7.0,0,24,6.3,0,0,1,0.1,64,MID
Felipe Anderson,Pereira Gomes,0,0,2,2,0,0.4,2.4,2.0,0,8,0.5,0,0,0,0.1,61,MID
Sébastien,Haller,1,0,13,213,2,25.0,48.4,77.0,0,44,15.0,1,0,0,0.3,61,FWD
Arthur,Masuaku,0,1,28,625,8,122.3,115.8,56.0,3,132,29.4,3,0,1,1.8,45,DEF
Fabián,Balbuena,1,0,27,540,6,5.4,136.4,34.0,0,114,17.6,3,0,1,1.4,44,DEF
Jordan,Hugill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,FWD
Jarrod,Bowen,3,0,36,661,9,75.4,129.0,192.0,2,111,39.7,3,0,0,2.4,63,MID
Albian,Ajeti,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,FWD
Declan,Rice,0,0,18,720,10,78.0,122.8,30.0,0,121,23.2,3,0,1,2.6,48,MID
Tomas,Soucek,1,1,27,720,10,61.3,131.0,214.0,1,76,40.6,3,0,1,2.8,49,MID
Pablo,Fornals,2,3,42,660,9,81.0,129.8,162.0,5,123,37.3,3,0,1,1.8,64,MID
Issa,Diop,0,0,2,207,4,1.6,45.2,0.0,0,25,4.7,0,0,1,0.6,44,DEF
Ben,Johnson,0,0,1,41,0,1.3,3.8,0.0,0,4,0.5,0,0,0,2.0,40,DEF
Vladimir,Coufal,0,2,25,450,6,80.8,100.0,28.0,5,96,20.9,2,0,2,1.5,45,DEF
Craig,Dawson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Saïd,Benrahma,0,1,5,19,0,11.5,19.6,52.0,0,13,8.3,0,0,0,0.2,60,MID
John,Ruddy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,44,GK
João Filipe Iria,Santos Moutinho,0,0,12,356,6,97.5,55.4,9.0,0,51,16.4,2,0,1,1.4,52,MID
Rui Pedro,dos Santos Patrício,0,0,40,720,9,0.0,167.6,0.0,3,171,16.6,4,0,0,7.5,55,GK
Ryan,Bennett,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,DEF
Willy,Boly,0,0,31,720,9,17.7,135.6,28.0,2,154,18.1,4,0,0,2.8,55,DEF
Conor,Coady,0,0,30,720,9,12.1,130.2,0.0,2,149,14.3,4,0,1,8.8,50,DEF
Raúl,Jiménez,4,0,37,720,9,71.5,170.6,228.0,7,133,47.2,4,0,0,16.6,84,FWD
Romain,Saïss,1,0,38,517,7,24.8,123.4,60.0,7,135,21.0,4,0,0,18.6,52,DEF
Jonathan,Castro Otto,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,DEF
Léo,Bonatini,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,48,FWD
Leander,Dendoncker,0,1,19,552,3,106.2,77.4,62.0,0,73,24.5,4,0,1,1.1,48,MID
Adama,Traoré,0,0,12,340,6,74.3,62.4,46.0,0,49,18.3,1,0,0,7.5,62,MID
Rúben Diogo,da Silva Neves,0,0,15,554,8,115.6,103.2,114.0,0,93,33.4,3,0,2,1.5,53,MID
Oskar,Buur,0,0,1,22,0,0.5,0.6,0.0,0,2,0.1,0,0,0,2.3,40,DEF
Daniel,Castelo Podence,1,2,29,500,4,117.4,114.0,111.0,0,93,34.2,5,0,0,3.8,55,MID
Max,Kilman,0,1,30,450,2,37.4,92.2,6.0,6,108,13.5,3,0,1,14.3,43,DEF
Rúben Gonçalo,Silva Nascimento Vinagre,0,0,1,172,7,25.3,31.2,0.0,0,24,5.7,0,0,0,1.3,42,DEF
Matija,Sarkic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,GK
Morgan,Gibbs-White,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Pedro,Lomba Neto,1,2,32,646,8,242.7,154.0,160.0,1,113,55.8,4,0,0,1.8,55,MID
Bruno André,Cavaco Jordao,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,44,MID
Leonardo,Campana,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,49,FWD
Fabio,Silva,0,0,4,52,3,13.7,3.2,46.0,0,8,6.1,0,0,0,0.5,52,FWD
Fernando,Marçal,0,0,9,134,1,17.9,24.6,10.0,0,34,5.3,1,0,1,0.1,48,DEF
Vitor,Ferreira,0,0,2,21,1,12.9,8.6,0.0,0,8,2.2,0,0,0,0.0,48,MID
Ki-Jana,Hoever,0,0,2,29,1,15.2,13.8,2.0,0,9,3.1,0,0,0,0.0,45,DEF
Nélson,Cabral Semedo,0,0,25,509,5,95.5,93.0,37.0,2,114,22.7,3,0,0,3.4,55,DEF
Meritan,Shabani,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Rayan,Ait Nouri,1,0,17,165,1,10.1,44.8,33.0,3,45,8.8,1,0,0,0.3,50,DEF
Owen,Otasowie,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
